,Ab_ID,1,2,3,3A,4,4A,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,32A,32B,33,33A,33B,33C,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,67A,68,69,70,71,72,73,74,75,75A,75B,76,77,78,79,80,81,82,82A,82B,82C,82D,82E,82F,82G,82H,83,84,85,85A,85B,85C,85D,85E,85F,85G,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,111A,111B,111C,111D,111E,111F,111G,111H,111I,111J,111K,111L,111M,111N,111O,111P,111Q,111R,111S,111T,111U,111V,111W,111X,111Y,111Z,112Z,112Y,112X,112W,112V,112U,112T,112S,112R,112Q,112P,112O,112N,112M,112L,112K,112J,112I,112H,112G,112F,112E,112D,112C,112B,112A,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,32A,33,33A,34,35,36,37,38,39,40,41,42,43,44,44A,45,45A,46,47,48,49,50,51,52,53,54,55,56,57,58,59,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,80A,81,81A,82,82A,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,111A,111B,111C,112C,112B,112A,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
198,1k4d,14.0,18.0,14.0,21.0,10.0,21.0,14.0,14.0,13.0,6.0,1.0,4.0,10.0,18.0,9.0,13.0,6.0,1.0,16.0,18.0,9.0,10.0,16.0,2.0,9.0,1.0,16.0,6.0,20.0,17.0,5.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,16.0,3.0,19.0,8.0,7.0,19.0,18.0,9.0,14.0,15.0,13.0,6.0,7.0,6.0,10.0,4.0,19.0,8.0,6.0,4.0,8.0,8.0,13.0,16.0,21.0,21.0,20.0,6.0,15.0,1.0,12.0,20.0,21.0,12.0,4.0,9.0,8.0,14.0,21.0,9.0,9.0,21.0,21.0,1.0,17.0,10.0,17.0,1.0,3.0,9.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,16.0,16.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,1.0,5.0,11.0,14.0,10.0,16.0,16.0,10.0,17.0,16.0,4.0,3.0,16.0,1.0,18.0,20.0,20.0,2.0,1.0,15.0,4.0,15.0,6.0,3.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.0,20.0,5.0,1.0,18.0,19.0,6.0,1.0,6.0,17.0,17.0,18.0,17.0,18.0,16.0,16.0,3,8,10,10,17,14,16,13,1,8,10,16,18,16,13,6,4,15,18,16,5,16,2,15,1,16,14,16,8,21,21,21,21,21,21,21,21,6,17,3,8,7,19,20,14,14,21,15,21,17,12,6,16,13,15,10,10,8,9,20,1,21,21,21,21,21,16,4,16,8,16,6,8,13,21,16,15,5,16,6,16,6,21,21,21,21,21,16,6,17,3,5,17,10,16,8,12,16,18,4,16,4,3,8,1,12,20,20,2,14,14,16,12,15,21,21,21,21,21,21,21,21,21,21,19,13,5,17,5,6,16,6,17,9,10,4,8,9
199,1k6q,4.0,18.0,14.0,21.0,10.0,21.0,14.0,14.0,16.0,6.0,1.0,4.0,10.0,18.0,15.0,13.0,6.0,1.0,10.0,18.0,9.0,10.0,16.0,2.0,9.0,1.0,16.0,6.0,5.0,12.0,8.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,9.0,3.0,20.0,20.0,11.0,7.0,19.0,18.0,9.0,14.0,15.0,13.0,4.0,14.0,6.0,10.0,4.0,10.0,8.0,6.0,19.0,8.0,3.0,13.0,4.0,21.0,21.0,12.0,6.0,12.0,17.0,8.0,20.0,21.0,3.0,13.0,9.0,5.0,14.0,21.0,3.0,9.0,21.0,21.0,1.0,16.0,8.0,17.0,1.0,3.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,16.0,12.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,1.0,20.0,10.0,14.0,10.0,16.0,16.0,10.0,17.0,16.0,4.0,3.0,17.0,1.0,18.0,20.0,20.0,2.0,1.0,15.0,3.0,17.0,1.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.0,20.0,5.0,3.0,20.0,19.0,6.0,14.0,6.0,17.0,17.0,10.0,17.0,18.0,16.0,16.0,3,8,9,11,17,14,16,13,16,16,11,16,1,16,10,6,4,16,18,17,8,17,2,9,1,16,15,3,8,21,21,21,21,21,21,21,21,9,16,20,10,16,19,20,14,14,21,9,21,13,19,9,16,13,9,17,10,8,20,20,1,21,21,21,21,21,17,16,10,1,3,6,18,13,21,16,15,5,16,6,16,6,21,21,21,21,21,16,6,14,3,20,16,10,17,8,16,16,10,4,16,3,3,17,1,17,20,20,2,10,14,7,6,4,21,21,21,21,21,21,21,21,21,21,16,13,5,17,5,6,16,6,17,9,10,4,10,9
200,1kb5,4.0,18.0,14.0,21.0,10.0,21.0,14.0,14.0,16.0,6.0,13.0,4.0,10.0,4.0,9.0,13.0,6.0,1.0,16.0,18.0,9.0,8.0,16.0,2.0,9.0,1.0,16.0,6.0,20.0,16.0,5.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,6.0,20.0,12.0,11.0,12.0,19.0,18.0,9.0,14.0,16.0,12.0,6.0,9.0,16.0,10.0,4.0,19.0,8.0,6.0,12.0,8.0,3.0,13.0,20.0,21.0,21.0,20.0,6.0,6.0,8.0,16.0,20.0,21.0,12.0,14.0,9.0,5.0,9.0,21.0,6.0,15.0,21.0,21.0,1.0,17.0,10.0,17.0,18.0,3.0,9.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,16.0,16.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,1.0,20.0,11.0,14.0,10.0,9.0,16.0,10.0,17.0,16.0,4.0,3.0,16.0,1.0,18.0,20.0,20.0,2.0,1.0,15.0,16.0,15.0,17.0,3.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,10.0,20.0,20.0,5.0,3.0,20.0,19.0,6.0,14.0,6.0,17.0,17.0,10.0,17.0,18.0,16.0,16.0,3,8,14,11,17,14,16,13,1,16,10,16,1,16,18,6,4,17,18,17,8,17,2,15,1,16,9,12,8,21,21,21,21,21,21,21,21,20,16,20,10,1,19,20,14,14,21,9,21,14,6,9,16,13,14,10,10,18,20,12,1,21,21,21,21,21,9,17,10,6,4,6,18,13,21,16,15,5,16,6,16,6,21,21,21,21,21,16,6,17,14,5,16,10,9,8,12,16,10,14,13,4,3,5,6,16,20,20,2,14,7,7,20,6,21,21,21,21,21,21,21,21,21,21,17,13,20,17,5,6,6,6,17,9,10,4,8,9
201,1kb9,4.0,18.0,9.0,21.0,10.0,21.0,14.0,4.0,16.0,6.0,1.0,6.0,10.0,18.0,14.0,13.0,16.0,14.0,16.0,10.0,16.0,10.0,17.0,2.0,16.0,18.0,17.0,6.0,20.0,16.0,8.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,6.0,20.0,20.0,19.0,12.0,19.0,8.0,15.0,10.0,5.0,13.0,6.0,12.0,9.0,10.0,4.0,19.0,18.0,6.0,20.0,8.0,16.0,12.0,18.0,21.0,21.0,21.0,6.0,3.0,12.0,12.0,20.0,21.0,12.0,13.0,16.0,10.0,9.0,21.0,3.0,15.0,21.0,21.0,10.0,16.0,8.0,17.0,15.0,3.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,9.0,12.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,14.0,5.0,5.0,10.0,9.0,10.0,12.0,16.0,18.0,17.0,17.0,4.0,3.0,17.0,1.0,17.0,20.0,20.0,2.0,1.0,15.0,16.0,4.0,20.0,20.0,16.0,18.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,6.0,20.0,1.0,11.0,3.0,20.0,19.0,6.0,14.0,6.0,17.0,17.0,18.0,17.0,18.0,16.0,16.0,3,8,4,10,17,14,17,13,18,16,10,1,1,16,10,6,3,15,18,17,8,16,2,15,1,16,14,3,8,21,21,21,21,21,21,21,21,12,12,5,10,12,19,20,14,14,21,9,21,13,3,6,17,8,9,10,10,8,20,20,17,21,21,21,21,21,16,15,10,7,1,6,18,13,21,16,15,5,16,6,16,6,21,21,21,21,21,16,6,17,3,20,16,10,17,8,16,12,10,4,13,4,3,8,1,17,20,5,2,14,7,7,8,9,21,21,21,21,21,21,21,21,21,21,5,13,19,17,5,6,1,6,17,9,10,4,8,9
202,1kc5,14.0,18.0,9.0,21.0,10.0,21.0,14.0,14.0,16.0,6.0,13.0,6.0,10.0,18.0,9.0,13.0,16.0,14.0,16.0,10.0,16.0,10.0,17.0,2.0,17.0,18.0,17.0,6.0,20.0,16.0,8.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,3.0,20.0,1.0,19.0,12.0,19.0,8.0,15.0,14.0,5.0,13.0,6.0,12.0,9.0,10.0,4.0,19.0,11.0,1.0,20.0,8.0,16.0,20.0,16.0,21.0,21.0,21.0,6.0,16.0,17.0,17.0,20.0,21.0,12.0,13.0,16.0,10.0,9.0,21.0,16.0,15.0,21.0,21.0,8.0,16.0,8.0,17.0,15.0,3.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,9.0,12.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,14.0,5.0,5.0,10.0,14.0,10.0,12.0,16.0,18.0,17.0,17.0,4.0,3.0,17.0,1.0,8.0,20.0,20.0,2.0,1.0,15.0,6.0,6.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.0,5.0,3.0,20.0,19.0,6.0,1.0,6.0,17.0,17.0,10.0,17.0,18.0,16.0,1.0,3,8,18,10,17,14,16,13,9,16,11,16,11,16,18,6,4,9,18,17,10,16,2,9,1,16,4,12,18,21,21,21,21,21,21,21,21,3,17,20,18,16,19,20,14,14,21,15,21,13,4,14,13,13,1,10,10,8,20,6,1,21,21,21,21,21,16,12,15,20,17,6,18,13,21,3,15,5,17,6,16,6,21,21,21,21,21,16,1,17,3,5,17,10,17,8,16,16,18,14,1,4,3,10,1,3,20,7,2,6,14,16,20,16,21,21,21,21,21,21,21,21,21,21,20,13,10,17,5,6,6,6,17,9,10,4,10,9
203,1kcr,14.0,18.0,1.0,21.0,10.0,21.0,14.0,4.0,16.0,6.0,13.0,6.0,10.0,18.0,9.0,13.0,16.0,14.0,16.0,10.0,16.0,10.0,17.0,2.0,17.0,18.0,17.0,6.0,20.0,16.0,8.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,3.0,20.0,1.0,19.0,12.0,19.0,8.0,15.0,14.0,5.0,13.0,6.0,12.0,9.0,10.0,4.0,19.0,11.0,6.0,20.0,8.0,15.0,12.0,6.0,21.0,21.0,21.0,6.0,16.0,17.0,17.0,20.0,21.0,12.0,13.0,16.0,10.0,1.0,21.0,16.0,15.0,21.0,21.0,8.0,16.0,8.0,17.0,15.0,3.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,9.0,12.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,14.0,5.0,5.0,10.0,14.0,10.0,12.0,16.0,18.0,17.0,17.0,4.0,3.0,17.0,1.0,17.0,20.0,20.0,2.0,1.0,15.0,6.0,6.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.0,5.0,17.0,20.0,19.0,6.0,1.0,6.0,17.0,10.0,18.0,17.0,18.0,16.0,1.0,3,8,18,10,17,14,16,13,9,16,11,16,11,16,18,6,4,15,18,17,10,16,2,9,1,16,4,12,18,21,21,21,21,21,21,21,21,6,17,20,18,16,19,20,14,14,21,9,21,13,4,14,16,13,9,10,10,8,20,6,1,21,21,21,21,21,16,12,15,20,17,6,18,13,21,3,15,5,17,6,16,6,21,21,21,21,21,16,1,17,3,5,17,10,9,8,16,16,18,14,1,4,3,10,1,3,20,7,2,6,14,17,20,21,21,21,21,21,21,21,21,21,21,21,16,20,13,17,5,6,6,6,17,9,10,1,8,9
204,1kcs,14.0,18.0,17.0,21.0,10.0,21.0,16.0,14.0,16.0,6.0,13.0,6.0,10.0,18.0,9.0,13.0,16.0,14.0,16.0,10.0,16.0,10.0,17.0,2.0,17.0,18.0,17.0,16.0,20.0,16.0,8.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,3.0,20.0,1.0,19.0,12.0,19.0,8.0,15.0,14.0,5.0,1.0,6.0,14.0,16.0,10.0,4.0,19.0,11.0,6.0,20.0,8.0,16.0,20.0,16.0,21.0,21.0,21.0,6.0,16.0,17.0,16.0,20.0,21.0,12.0,13.0,16.0,10.0,9.0,21.0,16.0,15.0,21.0,21.0,8.0,16.0,8.0,17.0,15.0,3.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,9.0,12.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,14.0,5.0,5.0,10.0,14.0,10.0,12.0,16.0,18.0,17.0,17.0,3.0,3.0,17.0,1.0,17.0,20.0,20.0,2.0,1.0,15.0,6.0,6.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.0,5.0,13.0,20.0,19.0,6.0,17.0,6.0,17.0,12.0,18.0,17.0,18.0,16.0,1.0,3,8,18,11,17,14,16,13,9,16,11,6,11,16,18,6,4,1,18,17,10,12,2,9,1,16,4,12,18,21,21,21,21,21,21,21,21,6,17,20,18,16,19,20,14,14,21,9,21,13,6,14,16,13,18,10,10,8,20,6,1,21,21,21,21,21,16,12,15,20,17,6,18,13,21,3,15,5,17,6,16,6,21,21,21,21,21,16,1,17,3,5,17,10,17,8,16,16,18,14,1,3,3,3,1,3,20,20,2,6,14,16,20,16,21,21,21,21,21,21,21,21,21,21,16,13,10,17,5,6,6,6,17,9,10,4,10,9
205,1kcu,14.0,18.0,9.0,21.0,10.0,21.0,14.0,14.0,16.0,6.0,13.0,6.0,10.0,18.0,9.0,13.0,16.0,14.0,16.0,10.0,16.0,10.0,17.0,2.0,17.0,18.0,17.0,6.0,20.0,16.0,8.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,3.0,20.0,1.0,19.0,12.0,19.0,8.0,15.0,14.0,5.0,13.0,6.0,12.0,9.0,10.0,4.0,19.0,11.0,1.0,20.0,8.0,16.0,20.0,16.0,21.0,21.0,21.0,6.0,16.0,17.0,17.0,20.0,21.0,12.0,13.0,16.0,10.0,9.0,21.0,16.0,15.0,21.0,21.0,8.0,16.0,8.0,17.0,15.0,3.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,9.0,12.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,14.0,5.0,5.0,10.0,14.0,10.0,12.0,16.0,18.0,17.0,17.0,4.0,3.0,17.0,1.0,8.0,20.0,20.0,2.0,1.0,15.0,6.0,6.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.0,5.0,3.0,20.0,19.0,6.0,1.0,6.0,17.0,17.0,10.0,17.0,18.0,16.0,1.0,3,8,18,10,17,14,16,13,9,16,11,16,11,16,18,6,4,9,18,17,10,16,2,9,1,16,4,12,18,21,21,21,21,21,21,21,21,3,17,20,18,16,19,20,14,14,21,15,21,13,4,14,13,13,1,10,10,8,20,6,1,21,21,21,21,21,16,12,15,20,17,6,18,13,21,3,15,5,17,6,16,6,21,21,21,21,21,16,1,17,3,5,17,10,17,8,16,16,18,14,1,4,3,10,1,3,20,7,2,6,14,16,20,16,21,21,21,21,21,21,21,21,21,21,20,13,10,17,5,6,6,6,17,9,10,4,10,9
206,1kcv,14.0,18.0,17.0,21.0,10.0,21.0,16.0,14.0,16.0,6.0,13.0,6.0,10.0,18.0,9.0,13.0,16.0,14.0,16.0,10.0,16.0,10.0,17.0,2.0,17.0,18.0,17.0,16.0,20.0,16.0,8.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,3.0,20.0,1.0,19.0,12.0,19.0,8.0,15.0,14.0,5.0,1.0,6.0,14.0,16.0,10.0,4.0,19.0,11.0,6.0,20.0,8.0,16.0,20.0,16.0,21.0,21.0,21.0,6.0,16.0,17.0,16.0,20.0,21.0,12.0,13.0,16.0,10.0,9.0,21.0,16.0,15.0,21.0,21.0,8.0,16.0,8.0,17.0,15.0,3.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,9.0,12.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,14.0,5.0,5.0,10.0,14.0,10.0,12.0,16.0,18.0,17.0,17.0,3.0,3.0,17.0,1.0,17.0,20.0,20.0,2.0,1.0,15.0,6.0,6.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.0,5.0,13.0,20.0,19.0,6.0,17.0,6.0,17.0,12.0,18.0,17.0,18.0,16.0,1.0,3,8,18,11,17,14,16,13,9,16,11,6,11,16,18,6,4,1,18,17,10,12,2,9,1,16,4,12,18,21,21,21,21,21,21,21,21,6,17,20,18,16,19,20,14,14,21,9,21,13,6,14,16,13,18,10,10,8,20,6,1,21,21,21,21,21,16,12,15,20,17,6,18,13,21,3,15,5,17,6,16,6,21,21,21,21,21,16,1,17,3,5,17,10,17,8,16,16,18,14,1,3,3,3,1,3,20,20,2,6,14,16,20,16,21,21,21,21,21,21,21,21,21,21,16,13,10,17,5,6,6,6,17,9,10,4,10,9
207,1keg,4.0,18.0,14.0,21.0,10.0,21.0,14.0,14.0,16.0,6.0,17.0,18.0,10.0,1.0,15.0,13.0,6.0,1.0,16.0,18.0,9.0,11.0,16.0,2.0,9.0,1.0,16.0,6.0,20.0,16.0,5.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,16.0,5.0,19.0,11.0,7.0,19.0,18.0,9.0,14.0,15.0,13.0,6.0,14.0,6.0,10.0,4.0,19.0,8.0,6.0,17.0,8.0,20.0,13.0,6.0,21.0,21.0,12.0,16.0,3.0,17.0,16.0,20.0,21.0,12.0,14.0,9.0,5.0,9.0,21.0,6.0,9.0,21.0,21.0,1.0,9.0,10.0,17.0,1.0,18.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,1.0,16.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,1.0,20.0,11.0,4.0,18.0,16.0,16.0,10.0,17.0,12.0,4.0,3.0,16.0,1.0,18.0,20.0,20.0,2.0,17.0,15.0,15.0,16.0,6.0,20.0,9.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,1.0,10.0,3.0,20.0,19.0,6.0,14.0,6.0,17.0,16.0,18.0,17.0,18.0,16.0,16.0,3,18,10,11,17,14,17,13,10,16,10,13,18,16,10,6,3,14,1,16,8,16,2,15,16,16,14,16,8,18,7,16,21,21,21,12,6,12,17,20,10,4,19,20,10,14,21,9,21,13,6,14,16,13,9,10,10,8,20,9,18,21,21,21,21,21,16,12,15,5,16,6,18,13,21,3,15,5,16,6,16,6,21,21,21,21,21,16,6,17,3,5,17,10,9,8,16,15,18,4,1,4,3,10,6,18,20,20,2,5,14,6,16,21,21,21,21,21,21,21,21,21,21,21,10,18,13,17,5,6,6,6,17,9,10,4,8,9
208,1kel,4.0,18.0,9.0,21.0,10.0,21.0,18.0,4.0,16.0,6.0,6.0,6.0,10.0,6.0,14.0,13.0,21.0,6.0,6.0,16.0,10.0,15.0,10.0,16.0,2.0,1.0,17.0,16.0,6.0,5.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,5.0,17.0,3.0,20.0,20.0,5.0,12.0,19.0,1.0,15.0,14.0,13.0,13.0,6.0,9.0,1.0,10.0,4.0,19.0,10.0,6.0,5.0,8.0,15.0,12.0,9.0,1.0,9.0,6.0,20.0,17.0,17.0,21.0,4.0,20.0,16.0,1.0,16.0,18.0,9.0,21.0,21.0,21.0,6.0,15.0,5.0,17.0,8.0,16.0,15.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,3.0,12.0,16.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,14.0,6.0,8.0,10.0,20.0,10.0,14.0,11.0,12.0,17.0,10.0,15.0,1.0,4.0,3.0,16.0,1.0,17.0,20.0,20.0,2.0,1.0,15.0,19.0,6.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,20.0,1.0,11.0,3.0,20.0,19.0,6.0,14.0,6.0,17.0,16.0,18.0,17.0,18.0,16.0,16.0,3,18,10,11,17,14,17,13,10,16,10,13,18,16,10,6,3,14,1,16,8,16,2,15,5,16,14,16,8,18,7,16,21,21,21,12,6,12,17,20,10,4,19,20,10,14,21,9,21,16,6,14,16,13,9,10,10,8,20,9,18,21,21,21,21,21,16,12,15,5,16,6,18,13,21,3,15,5,16,6,16,6,21,21,21,21,21,16,6,17,3,5,17,10,9,8,16,15,18,4,1,4,3,10,6,18,20,20,2,5,14,6,16,7,21,21,21,21,21,21,21,21,21,21,18,13,15,17,5,6,6,6,17,9,10,4,8,9
209,1kem,4.0,18.0,9.0,21.0,10.0,21.0,18.0,4.0,16.0,6.0,6.0,6.0,10.0,6.0,14.0,13.0,21.0,6.0,6.0,16.0,10.0,15.0,10.0,16.0,2.0,1.0,17.0,16.0,6.0,5.0,17.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,5.0,17.0,3.0,20.0,20.0,5.0,12.0,19.0,1.0,15.0,14.0,13.0,13.0,6.0,9.0,1.0,10.0,4.0,19.0,10.0,6.0,5.0,8.0,15.0,12.0,9.0,1.0,9.0,6.0,20.0,17.0,17.0,21.0,4.0,20.0,16.0,1.0,16.0,18.0,9.0,21.0,21.0,21.0,6.0,15.0,5.0,17.0,8.0,16.0,15.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,3.0,12.0,16.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,14.0,6.0,8.0,10.0,20.0,10.0,14.0,11.0,12.0,17.0,10.0,15.0,1.0,4.0,3.0,16.0,1.0,17.0,20.0,20.0,2.0,1.0,15.0,19.0,6.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,20.0,1.0,11.0,3.0,20.0,19.0,6.0,14.0,6.0,17.0,16.0,18.0,17.0,18.0,16.0,16.0,3,18,10,11,17,14,17,13,10,16,10,13,18,16,10,6,3,14,1,16,8,16,2,15,5,16,14,16,8,18,7,16,21,21,21,12,6,12,17,20,10,4,19,20,10,14,21,9,21,16,6,14,16,13,9,10,10,8,20,9,18,21,21,21,21,21,16,12,15,5,16,6,18,13,21,3,15,5,16,6,16,6,21,21,21,21,21,16,6,17,3,5,17,10,9,8,16,15,18,4,1,4,3,10,6,18,20,20,2,5,14,6,16,7,21,21,21,21,21,21,21,21,21,21,18,13,15,17,5,6,6,6,17,9,10,4,8,9
