,0
914,83
915,878
916,230
918,264
920,15
923,336
924,336
927,326
928,115
930,115
937,894
940,24
941,193
942,193
943,24
944,680
947,831
948,467
949,482
952,770
953,626
954,348
956,132
957,132
963,13
964,19
965,737
966,874
967,264
968,668
970,692
971,24
972,580
973,742
974,127
976,522
981,586
982,853
984,114
985,287
986,129
987,848
988,738
990,714
991,8
992,18
993,658
997,758
1003,62
1004,579
1005,873
1006,318
1007,302
1008,772
1009,81
1010,18
1011,62
1014,643
1015,202
1017,507
1018,581
1019,914
1020,642
1021,684
1022,802
1023,847
1024,113
1025,850
1026,523
1031,923
1035,596
1036,472
1037,588
1039,562
1040,786
1042,104
1043,722
1046,448
1054,14
1056,10
1057,690
1059,7
1066,252
1067,361
1068,638
1070,20
1071,570
1072,72
1073,808
1074,628
1076,20
1077,20
1078,221
1079,221
1080,845
1081,6
1082,829
1083,729
1084,578
1085,543
1086,513
1087,592
1088,546
1089,426
1091,114
1092,591
1093,931
1095,24
1096,7
1098,551
1099,681
1100,881
1103,87
1104,549
1105,788
1107,620
1108,18
1110,93
1111,47
1112,815
1113,55
1115,173
1116,173
1117,38
1118,247
1119,247
1120,478
1121,181
1123,200
1124,577
1125,410
1127,740
1128,908
1129,223
1130,37
1131,828
1132,585
1134,100
1135,178
1137,754
1139,18
1141,100
1144,627
1146,87
1147,77
1148,439
1150,127
1152,531
1153,17
1156,75
1159,257
1160,43
1161,481
1162,228
1163,789
1167,445
1171,773
1172,18
1174,107
1175,107
1177,560
1178,48
1179,98
1181,886
1182,496
1183,672
1184,7
1186,240
1187,54
1188,72
1191,794
1192,5
1193,137
1194,107
1197,534
1198,114
1199,124
1200,327
1201,370
1202,613
1203,484
1204,112
1205,197
1207,197
1208,197
1210,819
1212,202
1213,97
1214,321
1215,876
1217,488
1219,739
1221,112
1222,112
1223,127
1224,561
1225,18
1226,667
1229,470
1230,372
1231,781
1232,22
1233,22
1234,927
1235,702
1236,893
1237,715
1238,557
1239,724
1240,18
1241,24
1242,108
1245,760
1250,3
1251,519
1252,3
1253,771
1255,868
1256,686
1257,6
1258,418
1260,719
1263,775
1264,77
1268,526
1270,854
1271,68
1272,18
1273,367
1274,369
1275,68
1278,219
1279,219
1280,645
1282,462
1283,782
1284,7
1285,191
1286,191
1288,202
1290,528
1291,15
1292,47
1293,748
1296,902
1297,555
1299,764
1301,6
1302,7
1303,510
1305,466
1306,9
1307,456
1312,147
1315,304
1317,131
1318,334
1319,779
1320,342
1321,364
1324,747
1325,42
1326,42
1327,2
1328,317
1329,24
1330,27
1331,223
1332,447
1333,447
1334,704
1335,340
1336,19
1337,19
1338,673
1339,877
1342,629
1344,147
1345,569
1347,469
1348,463
1349,7
1350,354
1351,706
1352,793
1354,69
1355,69
1356,446
1357,615
1358,678
1360,777
1362,1
1365,23
1366,202
1367,202
1368,202
1369,202
1371,202
1372,202
1373,202
1374,15
1376,121
1377,121
1378,903
1379,72
1382,358
1383,292
1384,501
1385,450
1387,433
1388,611
1391,915
1393,769
1394,331
1395,88
1396,98
1397,440
1398,23
1399,721
1400,436
1401,7
1402,679
1406,200
1408,564
1409,516
1410,621
1411,486
1412,857
1414,883
1415,746
1416,582
1417,359
1419,48
1421,656
1422,18
1423,256
1424,541
1425,41
1426,856
1427,765
1428,138
1429,314
1431,869
1432,227
1433,227
1434,227
1435,227
1440,731
1441,1
1442,12
1446,665
1447,373
1449,599
1450,10
1451,673
1454,402
1456,107
1457,18
1459,624
1460,24
1461,24
1463,813
1464,906
1465,3
1476,18
1477,18
1478,233
1479,683
1480,439
1482,413
1489,24
1490,612
1494,16
1496,110
1497,587
1498,2
1499,2
1500,81
1501,471
1502,289
1503,838
1504,307
1505,547
1513,60
1514,60
1515,493
1516,49
1519,639
1520,365
1525,22
1528,3
1529,24
1531,909
1532,174
1533,602
1534,921
1535,388
1537,290
1538,474
1539,145
1543,319
1544,361
1546,32
1547,32
1548,483
1549,556
1550,414
1552,594
1553,341
1554,338
1555,82
1556,82
1557,865
1558,277
1559,24
1560,24
1561,18
1562,13
1563,18
1564,542
1568,156
1569,156
1570,65
1571,65
1572,453
1575,573
1576,224
1577,660
1578,200
1579,661
1580,743
1581,7
1582,7
1583,7
1584,52
1585,89
1586,8
1587,3
1588,407
1589,453
1590,453
1591,453
1593,437
1594,137
1595,351
1597,351
1598,351
1599,351
1600,791
1601,633
1602,94
1603,94
1605,811
1606,270
1607,174
1611,8
1612,275
1613,33
1614,33
1615,360
1616,74
1617,275
1618,310
1619,74
1621,301
1622,778
1623,24
1624,568
1629,297
1630,36
1631,330
1632,416
1638,18
1639,306
1640,755
1641,55
1642,384
1643,17
1644,22
1648,24
1650,285
1651,524
1654,18
1655,18
1656,216
1657,216
1658,18
1659,705
1661,126
1662,286
1663,391
1664,271
1665,58
1666,206
1669,29
1670,29
1671,170
1672,267
1673,179
1675,8
1677,7
1678,18
1681,701
1683,284
1684,601
1686,7
1687,241
1688,8
1689,8
1690,8
1691,8
1692,8
1693,8
1694,18
1695,116
1696,839
1697,313
1698,113
1699,726
1701,6
1709,3
1710,7
1711,19
1712,18
1713,8
1714,8
1715,13
1716,18
1717,8
1718,8
1719,13
1720,7
1721,7
1722,19
1724,159
1726,75
1728,309
1729,309
1730,525
1731,597
1732,27
1733,27
1735,116
1742,565
1743,494
1747,553
1748,13
1749,403
1751,183
1752,455
1754,178
1756,3
1757,441
1761,50
1762,201
1763,749
1766,424
1767,178
1768,375
1770,178
1771,152
1772,533
1773,809
1774,129
1776,14
1777,229
1778,49
1779,97
1780,691
1782,21
1783,558
1784,110
1785,392
1786,419
1787,6
1788,6
1789,381
1790,889
1792,260
1793,382
1794,485
1797,803
1799,261
1801,45
1802,427
1806,296
1807,4
1809,371
1813,17
1816,126
1818,339
1824,27
1826,761
1828,23
1829,23
1830,559
1831,780
1832,148
1834,479
1835,244
1836,175
1837,84
1838,84
1840,659
1841,279
1842,871
1845,434
1846,343
1847,238
1849,128
1850,756
1852,422
1853,92
1854,92
1855,92
1856,92
1857,3
1858,16
1859,274
1860,610
1862,671
1864,178
1865,320
1869,178
1871,178
1872,461
1874,113
1878,799
1879,24
1880,24
1885,112
1886,112
1887,178
1888,112
1890,363
1891,851
1892,361
1893,17
1894,332
1895,45
1897,695
1898,44
1899,563
1901,44
1902,362
1903,120
1904,7
1905,406
1906,465
1907,84
1908,18
1909,182
1910,398
1912,337
1913,337
1914,259
1915,269
1916,213
1920,111
1921,823
1922,18
1923,303
1924,18
1925,24
1926,209
1927,209
1928,107
1929,537
1930,226
1931,226
1932,226
1933,226
1935,181
1937,109
1938,713
1939,417
1940,142
1941,316
1942,707
1943,278
1944,151
1946,8
1947,149
1948,3
1950,18
1952,598
1956,28
1957,28
1959,18
1962,39
1963,383
1968,219
1969,460
1970,247
1971,625
1972,100
1973,18
1974,24
1975,352
1978,125
1979,125
1980,84
1981,84
1982,700
1983,10
1985,280
1989,380
1991,109
1992,895
1993,110
1994,787
1995,387
1996,583
1997,283
1998,152
1999,2
2001,8
2002,19
2004,93
2005,415
2006,169
2007,674
2009,390
2010,89
2011,18
2013,8
2014,7
2015,293
2017,861
2018,56
2019,22
2020,118
2022,73
2023,118
2024,73
2025,386
2026,291
2029,49
2030,491
2031,7
2032,498
2033,111
2034,18
2035,7
2036,16
2037,423
2038,106
2040,143
2041,86
2044,57
2045,411
2046,8
2047,703
2048,322
2049,688
2051,333
2052,858
2053,19
2054,266
2056,282
2057,527
2058,288
2061,288
2062,72
2066,139
2067,160
2069,39
2070,135
2071,389
2072,160
2073,165
2074,90
2075,550
2076,116
2078,475
2079,207
2080,693
2083,24
2084,18
2087,13
2088,657
2089,172
2090,172
2091,8
2092,862
2093,399
2094,16
2096,24
2097,590
2100,19
2102,19
2104,473
2114,130
2115,268
2116,345
2119,294
2120,425
2121,357
2122,155
2123,24
2127,194
2128,239
2129,421
2130,405
2131,430
2132,506
2133,376
2134,245
2136,393
2137,400
2140,100
2141,100
2142,100
2143,248
2144,9
2146,9
2148,517
2149,454
2150,246
2151,511
2152,66
2153,66
2155,44
2156,24
2157,17
2158,17
2159,17
2160,281
2161,146
2162,200
2163,378
2165,18
2168,232
2169,409
2170,377
2171,24
2172,24
2174,396
2175,1
2176,84
2177,631
2178,265
2179,234
2182,140
2183,17
2185,323
2186,443
2187,154
2189,444
2190,617
2191,619
2192,157
2194,157
2195,141
2197,795
2198,438
2199,107
2200,107
2201,24
2202,18
2203,328
2205,885
2206,452
2207,122
2208,487
2209,253
2210,31
2212,879
2213,199
2214,689
2216,863
2217,26
2218,26
2219,26
2220,26
2221,262
2222,3
2223,3
2224,3
2226,15
2227,508
2231,698
2233,106
2234,5
2235,5
2236,451
2237,114
2238,221
2239,177
2240,841
2241,158
2244,276
2245,699
2247,153
2248,18
2251,300
2253,48
2256,18
2257,30
2258,237
2259,8
2260,154
2261,19
2262,171
2263,119
2264,18
2265,78
2266,149
2267,149
2268,163
2269,20
2270,6
2272,18
2273,251
2274,79
2275,70
2276,243
2277,3
2278,222
2279,188
2284,166
2285,397
2286,134
2288,205
2289,344
2290,353
2294,4
2295,325
2296,432
2297,56
2298,315
2299,20
2301,220
2304,263
2305,131
2306,236
2310,368
2311,112
2312,435
2314,184
2317,308
2318,336
2319,150
2320,428
2322,249
2323,273
2324,196
2325,242
2329,298
2330,618
2331,346
2332,379
2333,356
2334,67
2340,138
2343,18
2344,18
2345,18
2346,18
2347,18
2348,186
2351,190
2352,374
2353,349
2354,404
2355,187
2358,138
2359,71
2360,212
2361,299
2362,312
2363,401
2364,202
2365,191
2366,192
2367,192
2368,24
2369,24
2370,24
2371,161
2372,258
2373,136
2376,189
2377,255
2378,305
2379,395
2380,112
2381,24
2382,53
2384,133
2385,211
2387,335
2388,37
2389,37
2391,429
2393,203
2394,420
2395,101
2396,51
2397,101
2398,51
2400,4
2401,195
2402,295
2403,907
2404,218
2405,250
2406,347
2407,162
2408,329
