Ab_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280
Anetumab,14,18,4,10,18,14,16,6,1,4,18,9,9,13,6,4,16,10,9,8,16,2,9,6,16,6,20,16,5,17,16,20,19,8,6,19,18,15,14,1,13,6,9,6,10,4,19,11,6,8,8,3,13,6,3,16,15,17,15,20,16,13,16,5,14,6,14,18,17,8,16,1,3,9,16,8,16,17,1,20,10,14,19,16,16,10,9,1,16,3,17,1,11,20,20,2,1,15,6,14,10,20,6,6,17,20,11,3,6,19,6,14,6,17,10,18,17,18,16,16,3,8,1,10,17,14,13,1,16,18,16,6,16,13,6,14,16,8,17,8,16,2,17,6,17,16,16,3,8,6,6,20,12,16,18,16,19,20,14,14,7,13,6,9,1,13,9,10,11,8,20,6,18,12,12,15,13,16,6,18,16,12,15,5,16,6,16,9,16,6,12,17,1,16,10,17,8,16,6,10,14,1,4,3,4,1,3,20,20,2,16,16,20,3,8,4,16,1,17,13,18,5,6,6,6,17,9,10,17,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anifrolumab,4,18,14,10,18,14,16,6,1,4,18,9,9,13,6,4,16,10,9,8,16,2,9,6,16,6,20,8,5,17,12,20,19,8,1,19,18,15,14,11,13,6,9,6,10,4,16,11,6,8,8,20,13,6,3,16,3,8,15,20,16,13,16,5,14,6,14,18,17,8,16,1,3,9,16,8,17,17,1,20,10,14,19,16,16,10,9,1,16,3,17,1,11,20,20,2,1,15,7,3,8,4,6,5,3,20,19,6,15,6,17,10,18,17,18,16,16,4,8,18,10,17,14,16,13,6,17,10,16,10,16,13,6,4,15,1,17,10,16,2,15,1,16,14,16,18,16,16,16,5,5,1,19,20,14,14,9,13,6,14,1,13,15,10,10,8,20,6,1,16,16,15,1,17,6,8,13,3,15,10,16,6,16,6,16,6,17,3,5,17,10,17,8,17,15,10,4,13,4,3,5,1,18,20,20,2,14,14,20,3,16,16,1,8,17,5,6,14,6,17,15,10,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anrukinzumab,4,18,14,10,18,4,16,6,6,6,10,18,14,13,6,6,16,10,15,10,16,2,1,1,16,6,5,17,5,8,16,20,1,11,16,19,18,15,14,1,13,6,9,6,10,4,19,18,1,16,8,16,16,6,6,12,17,20,20,13,3,16,18,9,6,15,5,17,8,16,15,3,12,1,9,12,16,10,20,10,14,11,12,16,10,15,1,4,3,17,1,18,20,20,2,1,15,10,3,6,20,20,5,6,5,1,20,19,6,14,6,17,10,18,17,18,16,16,3,8,14,11,17,14,16,13,16,16,10,16,1,16,18,6,3,15,18,17,8,17,2,9,1,16,4,16,18,3,12,20,6,9,16,10,11,7,19,20,14,14,9,13,6,9,1,13,9,10,10,8,20,15,1,16,12,10,4,16,6,18,13,16,15,5,16,6,16,6,16,6,17,3,5,17,10,17,8,16,16,10,14,13,4,3,5,1,17,20,20,2,14,14,16,12,4,3,13,19,17,5,6,6,6,17,9,18,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascrinvacumab,14,18,14,10,14,4,16,6,13,6,10,18,9,13,16,14,17,10,16,10,17,2,17,18,16,6,6,16,8,16,16,6,4,20,20,19,12,19,8,15,14,7,13,6,9,6,10,4,19,8,6,20,8,20,20,16,6,16,17,20,20,12,13,16,10,9,16,15,18,17,8,16,18,3,17,16,9,12,14,5,16,10,9,10,16,16,18,17,1,1,3,17,1,18,20,20,2,1,15,4,16,18,1,6,5,3,20,19,6,14,6,17,10,18,17,18,16,16,4,8,18,10,17,14,16,13,6,17,10,16,10,16,13,6,4,15,1,17,10,16,2,15,1,16,14,16,18,16,16,16,20,10,1,19,20,14,14,9,13,6,14,1,13,15,10,10,8,20,6,17,16,16,15,1,17,6,8,13,3,15,5,16,6,16,6,16,6,17,3,5,17,10,17,8,16,15,10,4,13,4,3,5,1,18,20,20,2,14,14,20,6,16,16,13,8,17,5,6,14,6,17,15,10,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atezolizumab,4,18,14,10,18,4,16,6,6,6,10,18,14,13,6,6,16,10,15,10,16,2,1,1,16,6,5,17,5,16,3,16,19,8,7,19,18,15,14,1,13,6,9,6,10,4,19,18,1,19,8,16,13,20,6,6,16,17,20,20,1,3,16,18,9,6,15,5,17,8,16,1,3,17,16,9,12,17,1,20,10,14,11,12,16,10,15,1,4,3,17,1,18,20,20,2,1,15,15,7,19,13,6,6,5,3,20,19,6,14,6,17,10,18,17,18,16,16,3,8,14,11,17,14,16,13,16,16,10,16,1,16,18,6,3,15,18,17,8,17,2,15,1,16,14,3,18,16,17,1,18,1,19,20,14,14,9,13,6,9,1,13,9,10,10,8,20,16,1,16,5,10,20,16,6,18,13,16,15,5,16,6,16,6,16,6,17,3,5,17,10,17,8,16,16,10,14,13,4,3,5,1,17,20,20,2,14,14,20,10,20,7,13,1,17,5,6,14,6,17,9,18,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atidortoxumab,4,18,14,10,14,4,16,6,13,6,10,18,15,13,16,4,17,10,16,10,17,2,1,18,16,6,20,16,8,16,16,6,11,6,19,6,19,8,15,14,13,13,6,9,6,10,4,19,8,6,16,8,3,14,15,6,16,17,20,20,12,13,16,10,9,16,15,18,17,8,16,18,3,17,16,9,12,14,5,16,10,9,10,16,16,18,17,1,1,3,17,1,18,20,20,2,1,15,3,1,6,7,1,18,3,11,3,18,19,6,9,6,17,17,18,17,18,16,16,3,8,14,11,17,14,16,13,16,16,18,16,1,16,18,6,3,15,18,17,8,17,2,15,1,16,14,6,8,16,15,19,10,1,19,20,14,14,9,13,6,9,1,13,9,10,10,8,20,1,1,16,16,10,14,16,6,18,13,16,15,5,16,6,16,6,16,6,17,3,5,17,10,17,8,16,16,10,14,13,4,3,5,1,17,20,20,2,14,14,6,20,18,5,13,10,17,5,6,6,6,17,9,18,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avelumab,4,18,14,10,10,4,16,6,6,6,10,18,14,13,6,6,16,10,15,10,16,2,1,1,16,6,5,17,5,16,16,20,8,11,11,19,18,15,14,1,13,6,9,6,10,4,19,18,16,16,8,20,13,16,6,6,8,17,5,20,1,3,17,18,9,6,15,5,17,8,16,15,3,12,16,9,12,17,10,20,10,14,11,12,16,10,15,1,4,3,17,1,18,20,20,2,1,15,8,9,10,6,17,18,17,17,18,3,20,19,6,14,6,17,10,18,17,18,16,16,14,16,1,10,17,14,13,1,16,18,16,6,16,13,6,14,16,8,17,8,16,2,17,6,17,16,16,3,18,6,6,20,12,20,18,16,19,20,14,14,7,13,6,9,1,13,9,10,11,8,20,3,18,16,12,15,13,16,6,18,16,12,15,5,16,6,16,9,16,6,12,17,1,16,10,17,8,16,6,10,14,1,4,3,4,1,3,20,20,2,16,16,20,17,16,16,16,17,15,18,5,6,17,6,17,9,18,17,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bapineuzumab,4,18,14,10,10,4,16,6,6,6,10,18,14,13,6,6,16,10,15,10,16,2,1,1,16,6,5,17,5,16,12,20,6,11,16,19,18,15,14,1,13,6,9,6,10,4,19,18,1,16,8,15,16,6,6,6,15,17,20,20,16,3,12,18,9,6,15,5,17,8,16,15,3,12,16,9,12,17,10,20,10,14,11,12,16,10,15,1,4,3,17,1,18,20,20,2,18,15,20,3,7,20,16,6,16,16,3,20,19,6,14,6,17,10,18,17,18,16,16,3,18,18,11,17,14,16,13,10,16,10,13,18,17,13,6,4,13,1,16,8,16,2,9,16,16,14,16,10,10,3,16,3,6,9,17,20,10,12,19,10,10,14,9,13,6,14,16,13,14,15,10,8,20,10,18,16,9,10,3,16,6,18,13,3,15,5,16,6,16,6,16,6,17,3,5,17,10,9,8,16,15,18,4,1,4,3,18,6,18,20,20,2,19,14,6,17,7,5,13,15,17,5,6,14,6,17,9,18,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basiliximab,14,18,14,10,14,14,16,6,17,18,10,1,15,13,6,1,16,18,9,11,16,2,9,1,16,6,20,16,5,17,15,20,19,11,7,19,8,9,14,15,13,6,14,6,10,4,19,8,6,1,8,20,13,6,12,16,3,17,16,20,12,14,9,5,4,6,9,1,9,10,17,1,18,17,16,1,16,17,1,20,11,4,10,16,16,10,17,7,4,3,16,1,18,20,20,2,16,15,3,20,6,20,20,5,3,5,19,6,14,6,17,17,10,17,18,16,16,14,8,18,16,17,14,16,13,1,8,11,16,1,16,13,6,4,9,18,17,11,17,2,16,1,16,16,16,15,16,20,11,14,19,20,14,14,9,13,6,17,16,13,9,15,19,8,20,3,17,16,9,10,1,16,6,18,13,1,15,5,16,6,16,6,16,6,17,16,20,16,10,17,8,16,16,11,4,1,4,3,1,1,17,20,20,2,7,14,15,16,16,20,17,5,6,6,6,17,9,10,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bavituximab,4,18,14,10,14,14,16,6,13,4,10,4,9,13,6,1,16,18,9,10,16,2,9,1,16,6,20,16,5,17,6,20,12,11,12,19,18,9,14,16,7,6,9,16,10,4,19,8,6,7,8,3,13,20,20,6,3,17,16,20,12,14,9,5,15,6,9,1,17,10,17,18,3,9,16,16,16,17,1,20,11,14,10,9,16,10,17,16,4,3,16,1,18,20,20,2,18,9,6,6,20,20,6,7,19,20,5,3,18,19,6,1,6,17,17,18,17,18,16,16,3,8,14,11,17,14,16,13,16,16,10,16,1,16,10,6,4,15,18,16,10,17,2,15,1,16,14,3,8,6,16,16,10,12,19,10,14,14,6,13,3,6,17,8,9,15,10,8,20,1,17,16,16,10,3,16,6,18,13,9,15,5,16,6,16,15,16,6,16,3,20,16,10,17,8,16,16,10,4,16,4,3,5,18,3,20,20,2,10,14,20,18,16,16,13,13,17,5,6,1,6,17,9,10,4,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belimumab,14,18,14,10,14,14,16,6,1,4,18,9,9,13,6,16,16,18,15,18,16,2,9,1,16,6,6,17,5,12,12,12,1,8,12,19,18,15,14,1,13,6,14,6,10,4,19,11,6,6,8,8,13,11,5,6,17,1,9,20,16,14,12,5,14,6,15,18,1,8,17,1,3,4,16,17,6,17,1,16,11,4,10,16,16,10,15,16,4,3,17,1,18,20,20,2,1,15,16,15,3,10,10,10,5,13,7,7,1,10,16,13,19,6,15,6,17,11,18,17,18,16,16,16,16,4,10,17,14,3,13,1,18,16,18,1,10,6,14,17,18,15,18,17,2,14,6,3,16,10,15,16,20,20,1,16,19,20,14,14,9,13,6,14,1,13,18,10,18,8,20,6,9,12,12,15,13,16,6,8,13,3,15,5,16,6,16,16,16,6,12,17,1,16,10,17,8,17,6,1,14,1,4,3,4,1,3,20,20,2,16,16,15,3,16,16,6,12,7,19,18,5,6,6,6,17,4,10,17,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benralizumab,4,18,14,10,18,14,16,6,1,4,18,9,9,13,6,1,16,18,9,18,16,2,9,1,16,6,20,17,5,17,16,20,18,8,7,19,18,15,14,15,13,6,14,6,10,1,19,11,6,20,8,12,13,20,12,3,6,17,9,20,12,4,15,5,9,6,9,18,17,8,17,16,3,15,16,17,16,17,18,20,11,4,10,16,16,10,15,16,4,3,17,1,18,20,10,2,6,15,4,6,8,15,20,20,6,10,10,6,3,20,19,6,14,6,17,10,18,17,18,16,16,3,8,14,11,17,14,16,13,16,16,10,16,1,16,18,6,3,15,18,17,8,17,2,6,17,16,4,3,8,8,12,20,10,12,19,20,14,14,9,13,6,9,1,13,9,10,10,8,20,7,17,16,15,10,14,16,6,18,13,16,15,5,16,6,16,6,16,6,17,3,5,17,10,17,8,16,16,10,14,13,4,3,5,1,17,20,20,2,14,14,6,20,17,10,13,20,17,5,6,14,6,17,9,18,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
